2026-04-18 21:11:50 | INFO     | FactTransformer | validate_date_range:116 | [fact_orders] Date range for 'order_date': 2025-03-01 10:00:00 to 2025-03-01 10:00:00
2026-04-18 21:11:50 | INFO     | FactTransformer | validate_amounts:152 | [fact_orders] 'total_vnd' stats: mean=5,000,000, median=5,000,000, std=nan
2026-04-18 21:11:50 | INFO     | FactTransformer | transform_fact_orders:214 | fact_orders: 1 rows
2026-04-18 21:11:50 | INFO     | FactTransformer | transform_fact_payments:347 | Transforming fact_payments...
2026-04-18 21:11:50 | INFO     | FactTransformer | transform_fact_payments:370 | Processing 1 MoMo transactions...
2026-04-18 21:11:50 | INFO     | FactTransformer | check_duplicates:72 | [fact_payments] No duplicates found on ['payment_key']
2026-04-18 21:11:50 | INFO     | FactTransformer | validate_date_range:116 | [fact_payments] Date range for 'payment_date': 2025-03-01 10:00:00 to 2025-03-01 10:00:00
2026-04-18 21:11:50 | INFO     | FactTransformer | validate_amounts:152 | [fact_payments] 'amount_vnd' stats: mean=500,000, median=500,000, std=nan
2026-04-18 21:11:50 | INFO     | FactTransformer | transform_fact_payments:443 | fact_payments: 1 rows
2026-04-18 21:11:50 | INFO     | FactTransformer | transform_fact_payments:347 | Transforming fact_payments...
2026-04-18 21:11:50 | INFO     | FactTransformer | transform_fact_payments:352 | Processing 1 PayPal transactions...
2026-04-18 21:11:50 | INFO     | FactTransformer | check_duplicates:72 | [fact_payments] No duplicates found on ['payment_key']
2026-04-18 21:11:50 | INFO     | FactTransformer | validate_date_range:116 | [fact_payments] Date range for 'payment_date': 2025-03-01 10:00:00 to 2025-03-01 10:00:00
2026-04-18 21:11:50 | INFO     | FactTransformer | validate_amounts:152 | [fact_payments] 'amount_vnd' stats: mean=2,400,000, median=2,400,000, std=nan
2026-04-18 21:11:50 | INFO     | FactTransformer | transform_fact_payments:443 | fact_payments: 1 rows
2026-04-18 21:11:50 | INFO     | FactTransformer | transform_fact_payments:347 | Transforming fact_payments...
2026-04-18 21:11:50 | INFO     | FactTransformer | transform_fact_payments:389 | Processing 1 ZaloPay transactions...
2026-04-18 21:11:50 | INFO     | FactTransformer | check_duplicates:72 | [fact_payments] No duplicates found on ['payment_key']
2026-04-18 21:11:50 | INFO     | FactTransformer | validate_date_range:116 | [fact_payments] Date range for 'payment_date': 2025-03-01 10:00:00 to 2025-03-01 10:00:00
2026-04-18 21:11:50 | INFO     | FactTransformer | validate_amounts:152 | [fact_payments] 'amount_vnd' stats: mean=750,000, median=750,000, std=nan
2026-04-18 21:11:50 | INFO     | FactTransformer | transform_fact_payments:443 | fact_payments: 1 rows
2026-04-18 21:11:52 | INFO     | BigQueryLoader | create_dataset_if_not_exists:54 | Created dataset 'minpyws.techstore_analytics' in US
2026-04-18 21:11:52 | WARNING  | BigQueryLoader | load_dataframe:74 | DataFrame for 'test_table' is empty. Skipping load.
2026-04-18 21:12:06 | INFO     | PaymentExtractor | extract_mercury_accounts:59 | Starting Mercury accounts extraction...
2026-04-18 21:12:06 | INFO     | PaymentExtractor | extract_json_gzip:24 | Extracting: gs://minpy/mercury/accounts.json.gz
2026-04-18 21:12:09 | INFO     | PaymentExtractor | extract_json_gzip:33 | Extracted 3 records from mercury/accounts.json.gz
2026-04-18 21:12:09 | INFO     | PaymentExtractor | extract_mercury_accounts:61 | Mercury accounts extraction complete: 3 accounts
2026-04-18 21:12:17 | INFO     | SapoExtractor | extract_locations:64 | Starting locations extraction...
2026-04-18 21:12:17 | INFO     | SapoExtractor | extract_json_gzip:24 | Extracting: gs://minpy/shared/sapo_locations.json.gz
2026-04-18 21:12:21 | INFO     | SapoExtractor | extract_json_gzip:33 | Extracted 50 records from shared/sapo_locations.json.gz
2026-04-18 21:12:21 | INFO     | SapoExtractor | extract_locations:66 | Locations extraction complete: 50 locations
2026-04-18 21:12:22 | INFO     | DimensionTransformer | transform_dim_locations:130 | Transforming dim_locations...
2026-04-18 21:12:22 | INFO     | DimensionTransformer | check_duplicates:72 | [dim_locations] No duplicates found on ['location_id']
2026-04-18 21:12:22 | INFO     | DimensionTransformer | transform_dim_locations:159 | dim_locations: 50 rows
2026-04-18 21:14:53 | INFO     | Main | main:53 | Mode: FULL PIPELINE
2026-04-18 21:14:54 | INFO     | PipelineOrchestrator | run_full_pipeline:58 | ============================================================
2026-04-18 21:14:54 | INFO     | PipelineOrchestrator | run_full_pipeline:59 | STARTING FULL ETL PIPELINE
2026-04-18 21:14:54 | INFO     | PipelineOrchestrator | run_full_pipeline:60 | Timestamp: 2026-04-18T21:14:54.067355
2026-04-18 21:14:54 | INFO     | PipelineOrchestrator | run_full_pipeline:61 | ============================================================
2026-04-18 21:14:54 | INFO     | PipelineOrchestrator | _step_create_dataset:120 | ────────────────────────────────────────
2026-04-18 21:14:54 | INFO     | PipelineOrchestrator | _step_create_dataset:121 | STEP 1: Creating BigQuery dataset...
2026-04-18 21:14:55 | INFO     | BigQueryLoader | create_dataset_if_not_exists:51 | Dataset 'minpyws.techstore_analytics' already exists
2026-04-18 21:14:55 | INFO     | PipelineOrchestrator | _step_extract:126 | ────────────────────────────────────────
2026-04-18 21:14:55 | INFO     | PipelineOrchestrator | _step_extract:127 | STEP 2: EXTRACTING data from GCS...
2026-04-18 21:14:55 | INFO     | ShopifyExtractor | extract_orders:23 | Starting Shopify orders extraction...
2026-04-18 21:14:55 | INFO     | ShopifyExtractor | extract_json_gzip_batches:51 | Extracting batch 1/5: shopify/orders_batch_0.json.gz
2026-04-18 21:14:55 | INFO     | ShopifyExtractor | extract_json_gzip:24 | Extracting: gs://minpy/shopify/orders_batch_0.json.gz
2026-04-18 21:15:05 | INFO     | ShopifyExtractor | extract_json_gzip:33 | Extracted 100000 records from shopify/orders_batch_0.json.gz
2026-04-18 21:15:06 | INFO     | ShopifyExtractor | extract_json_gzip_batches:51 | Extracting batch 2/5: shopify/orders_batch_1.json.gz
2026-04-18 21:15:06 | INFO     | ShopifyExtractor | extract_json_gzip:24 | Extracting: gs://minpy/shopify/orders_batch_1.json.gz
2026-04-18 21:15:13 | INFO     | ShopifyExtractor | extract_json_gzip:33 | Extracted 100000 records from shopify/orders_batch_1.json.gz
2026-04-18 21:15:13 | INFO     | ShopifyExtractor | extract_json_gzip_batches:51 | Extracting batch 3/5: shopify/orders_batch_2.json.gz
2026-04-18 21:15:13 | INFO     | ShopifyExtractor | extract_json_gzip:24 | Extracting: gs://minpy/shopify/orders_batch_2.json.gz
2026-04-18 23:14:38 | INFO     | Main | main:53 | Mode: FULL PIPELINE
2026-04-18 23:14:38 | INFO     | PipelineOrchestrator | run_full_pipeline:58 | ============================================================
2026-04-18 23:14:38 | INFO     | PipelineOrchestrator | run_full_pipeline:59 | STARTING FULL ETL PIPELINE
2026-04-18 23:14:38 | INFO     | PipelineOrchestrator | run_full_pipeline:60 | Timestamp: 2026-04-18T23:14:38.501816
2026-04-18 23:14:38 | INFO     | PipelineOrchestrator | run_full_pipeline:61 | ============================================================
2026-04-18 23:14:38 | INFO     | PipelineOrchestrator | _step_create_dataset:120 | ────────────────────────────────────────
2026-04-18 23:14:38 | INFO     | PipelineOrchestrator | _step_create_dataset:121 | STEP 1: Creating BigQuery dataset...
2026-04-18 23:14:39 | INFO     | BigQueryLoader | create_dataset_if_not_exists:51 | Dataset 'minpyws.techstore_analytics' already exists
2026-04-18 23:14:39 | INFO     | PipelineOrchestrator | _step_extract:126 | ────────────────────────────────────────
2026-04-18 23:14:39 | INFO     | PipelineOrchestrator | _step_extract:127 | STEP 2: EXTRACTING data from GCS...
2026-04-18 23:14:39 | INFO     | ShopifyExtractor | extract_orders:23 | Starting Shopify orders extraction...
2026-04-18 23:14:39 | INFO     | ShopifyExtractor | extract_json_gzip_batches:51 | Extracting batch 1/5: shopify/orders_batch_0.json.gz
2026-04-18 23:14:39 | INFO     | ShopifyExtractor | extract_json_gzip:24 | Extracting: gs://minpy/shopify/orders_batch_0.json.gz
2026-04-18 23:14:50 | INFO     | ShopifyExtractor | extract_json_gzip:33 | Extracted 100000 records from shopify/orders_batch_0.json.gz
2026-04-18 23:14:50 | INFO     | ShopifyExtractor | extract_json_gzip_batches:51 | Extracting batch 2/5: shopify/orders_batch_1.json.gz
2026-04-18 23:14:50 | INFO     | ShopifyExtractor | extract_json_gzip:24 | Extracting: gs://minpy/shopify/orders_batch_1.json.gz
2026-04-18 23:14:58 | INFO     | ShopifyExtractor | extract_json_gzip:33 | Extracted 100000 records from shopify/orders_batch_1.json.gz
2026-04-18 23:14:58 | INFO     | ShopifyExtractor | extract_json_gzip_batches:51 | Extracting batch 3/5: shopify/orders_batch_2.json.gz
2026-04-18 23:14:58 | INFO     | ShopifyExtractor | extract_json_gzip:24 | Extracting: gs://minpy/shopify/orders_batch_2.json.gz
2026-04-18 23:15:07 | INFO     | ShopifyExtractor | extract_json_gzip:33 | Extracted 100000 records from shopify/orders_batch_2.json.gz
2026-04-18 23:15:07 | INFO     | ShopifyExtractor | extract_json_gzip_batches:51 | Extracting batch 4/5: shopify/orders_batch_3.json.gz
2026-04-18 23:15:07 | INFO     | ShopifyExtractor | extract_json_gzip:24 | Extracting: gs://minpy/shopify/orders_batch_3.json.gz
2026-04-18 23:15:15 | INFO     | ShopifyExtractor | extract_json_gzip:33 | Extracted 100000 records from shopify/orders_batch_3.json.gz
2026-04-18 23:15:15 | INFO     | ShopifyExtractor | extract_json_gzip_batches:51 | Extracting batch 5/5: shopify/orders_batch_4.json.gz
2026-04-18 23:15:15 | INFO     | ShopifyExtractor | extract_json_gzip:24 | Extracting: gs://minpy/shopify/orders_batch_4.json.gz
2026-04-18 23:15:22 | INFO     | ShopifyExtractor | extract_json_gzip:33 | Extracted 100000 records from shopify/orders_batch_4.json.gz
2026-04-18 23:15:22 | INFO     | ShopifyExtractor | extract_json_gzip_batches:57 | Total records from 5 batches: 500000
2026-04-18 23:15:22 | INFO     | ShopifyExtractor | extract_orders:29 | Shopify extraction complete: 500000 total orders
2026-04-18 23:15:22 | INFO     | SapoExtractor | extract_customers:36 | Starting customer extraction...
2026-04-18 23:15:22 | INFO     | SapoExtractor | extract_json_gzip_batches:51 | Extracting batch 1/10: shared/customers/customers_batch_0.json.gz
2026-04-18 23:15:22 | INFO     | SapoExtractor | extract_json_gzip:24 | Extracting: gs://minpy/shared/customers/customers_batch_0.json.gz
2026-04-18 23:15:27 | INFO     | SapoExtractor | extract_json_gzip:33 | Extracted 10000 records from shared/customers/customers_batch_0.json.gz
2026-04-18 23:15:27 | INFO     | SapoExtractor | extract_json_gzip_batches:51 | Extracting batch 2/10: shared/customers/customers_batch_1.json.gz
2026-04-18 23:15:27 | INFO     | SapoExtractor | extract_json_gzip:24 | Extracting: gs://minpy/shared/customers/customers_batch_1.json.gz
2026-04-18 23:15:30 | INFO     | SapoExtractor | extract_json_gzip:33 | Extracted 10000 records from shared/customers/customers_batch_1.json.gz
2026-04-18 23:15:30 | INFO     | SapoExtractor | extract_json_gzip_batches:51 | Extracting batch 3/10: shared/customers/customers_batch_2.json.gz
2026-04-18 23:15:30 | INFO     | SapoExtractor | extract_json_gzip:24 | Extracting: gs://minpy/shared/customers/customers_batch_2.json.gz
2026-04-18 23:15:33 | INFO     | SapoExtractor | extract_json_gzip:33 | Extracted 10000 records from shared/customers/customers_batch_2.json.gz
2026-04-18 23:15:33 | INFO     | SapoExtractor | extract_json_gzip_batches:51 | Extracting batch 4/10: shared/customers/customers_batch_3.json.gz
