2026-04-19 01:29:03 | INFO     | SapoExtractor | extract_json_gzip:24 | Extracting: gs://minpy/shared/customers/customers_batch_6.json.gz
2026-04-19 01:29:05 | INFO     | SapoExtractor | extract_json_gzip:39 | Extracted 10000 records from shared/customers/customers_batch_6.json.gz
2026-04-19 01:29:05 | INFO     | SapoExtractor | extract_json_gzip_batches:57 | Extracting batch 8/10: shared/customers/customers_batch_7.json.gz
2026-04-19 01:29:05 | INFO     | SapoExtractor | extract_json_gzip:24 | Extracting: gs://minpy/shared/customers/customers_batch_7.json.gz
2026-04-19 01:29:08 | INFO     | SapoExtractor | extract_json_gzip:39 | Extracted 10000 records from shared/customers/customers_batch_7.json.gz
2026-04-19 01:29:08 | INFO     | SapoExtractor | extract_json_gzip_batches:57 | Extracting batch 9/10: shared/customers/customers_batch_8.json.gz
2026-04-19 01:29:08 | INFO     | SapoExtractor | extract_json_gzip:24 | Extracting: gs://minpy/shared/customers/customers_batch_8.json.gz
2026-04-19 01:29:11 | INFO     | SapoExtractor | extract_json_gzip:39 | Extracted 10000 records from shared/customers/customers_batch_8.json.gz
2026-04-19 01:29:11 | INFO     | SapoExtractor | extract_json_gzip_batches:57 | Extracting batch 10/10: shared/customers/customers_batch_9.json.gz
2026-04-19 01:29:11 | INFO     | SapoExtractor | extract_json_gzip:24 | Extracting: gs://minpy/shared/customers/customers_batch_9.json.gz
2026-04-19 01:29:13 | INFO     | SapoExtractor | extract_json_gzip:39 | Extracted 10000 records from shared/customers/customers_batch_9.json.gz
2026-04-19 01:29:13 | INFO     | SapoExtractor | extract_json_gzip_batches:63 | Total records from 10 batches: 100000
2026-04-19 01:29:13 | INFO     | SapoExtractor | extract_customers:42 | Customer extraction complete: 100000 customers
2026-04-19 01:29:13 | INFO     | SapoExtractor | extract_products:52 | Starting products extraction...
2026-04-19 01:29:13 | INFO     | SapoExtractor | extract_json_gzip:24 | Extracting: gs://minpy/shared/products.json.gz
2026-04-19 01:29:14 | INFO     | SapoExtractor | extract_json_gzip:39 | Extracted 1300 records from shared/products.json.gz
2026-04-19 01:29:14 | INFO     | SapoExtractor | extract_products:54 | Products extraction complete: 1300 products
2026-04-19 01:29:14 | INFO     | SapoExtractor | extract_locations:64 | Starting locations extraction...
2026-04-19 01:29:14 | INFO     | SapoExtractor | extract_json_gzip:24 | Extracting: gs://minpy/shared/sapo_locations.json.gz
2026-04-19 01:29:15 | INFO     | SapoExtractor | extract_json_gzip:39 | Extracted 50 records from shared/sapo_locations.json.gz
2026-04-19 01:29:15 | INFO     | SapoExtractor | extract_locations:66 | Locations extraction complete: 50 locations
2026-04-19 01:29:15 | INFO     | SapoExtractor | extract_orders:24 | Starting Sapo orders extraction...
2026-04-19 01:29:15 | INFO     | SapoExtractor | extract_json_gzip:24 | Extracting: gs://minpy/sapo/transactions.json.gz
